#,Discourse Connector,Class,Category,BNC academic,COCA academic,BNC spoken,COCA spoken,BNC non-academic,COCA general,BNC all,COCA all
377,the length of time,Sequential,Timing,4.1,2.7,1.4,0.6,2.6,0.8,2.1,1
378,for one thing,Sequential,Ordering,4,3.6,0.3,7.8,3.4,7.5,4.4,7.7
379,ideally,Clarification,Corroborative,4,6.1,1.2,1.2,3.2,3.6,3.5,3
380,sum up,Summation,,4,1.9,1.9,1.8,2.5,1.2,2.5,1.3
381,summarize,Summation,,4,1.9,1.9,1.8,2.5,1.2,2.5,1.3
382,forthwith,Consequential,Resultative,4,0.4,0.3,0.2,2.5,0.2,2.6,0.3
383,to start with,Sequential,Ordering,3.9,2,21.6,11.4,5.1,2.6,6.5,4.3
384,chiefly,Clarification,Generalization,3.9,0.7,0.2,0.1,3.3,0.5,7.4,3
385,in the manner of,Clarification,Emphasizing,3.9,2.1,0.3,0.2,2.2,1.2,2.6,1.3
386,henceforth,Consequential,Resultative,3.9,2.9,0.1,0.2,7.6,0.7,3.3,1.2
387,instantly,Sequential,Timing,3.9,5,5.1,8.4,8.1,16.2,15.6,16.2
388,strangely,Clarification,Corroborative,3.7,3.7,2.6,3,5.1,19.3,9.8,7.2
389,alternatively,Contrastive,Reformulatory,3.7,1.2,0.7,0.1,3.3,0.5,17.8,3.6
390,most of the time,Sequential,Timing,3.7,5,10.2,9.3,5.8,7.9,6.9,8.5
391,inasmuch,Clarification,Emphasizing,3.7,3.9,0.1,0.5,1.2,0.6,1.1,1.3
392,surely,Clarification,Emphasizing,3.7,30.7,55.3,15.7,23.4,23.5,62,33.8
393,in a word,Summation,,3.7,2.3,0.9,1.7,1.2,1.5,1.6,1.7
394,meanwhile,Sequential,Timing,3.7,17.2,2.8,21.1,19.8,53.1,48.1,49.9
395,all the same,Contrastive,Concessive,3.7,1.8,16.8,3.4,4.9,3.1,10.7,4.4
396,quite simply,Clarification,Corroborative,3.6,1.5,3.5,1.5,3.2,4.2,3.6,1.4
397,unquestionably,Clarification,Emphasizing,3.6,3.7,0.2,1.4,4.1,2.1,2.3,2.1
398,frankly,Clarification,Corroborative,3.6,4.2,16,68.1,4.9,11,9.5,21.6
399,one way or another,Clarification,Generalization,3.5,3.2,4.3,6,2.9,2.7,3,3.8
